ModelName,LanguageCode,Accuracy,Precision,Recall,F1Score
mBERT Base Model,bn,0.3715986394557823,0.8126628851473593,0.3715986394557823,0.39910270475443727
mBERT Base Model,en,0.5773552290406223,0.7559838314599271,0.5773552290406223,0.42265566356069667
mBERT Base Model,gu,0.4959349593495935,0.6326728763976381,0.4959349593495935,0.41584846442472573
mBERT Base Model,hi,0.0764020163831128,0.9455922215108512,0.0764020163831128,0.04289026696598052
mBERT Base Model,kn,0.006666666666666667,5.167958656330749e-05,0.006666666666666667,0.00010256410256410256
mBERT Base Model,ml,0.13053097345132744,0.8444787754881232,0.13053097345132744,0.10409642498158206
mBERT Base Model,mr,0.639269406392694,0.6479449290963076,0.639269406392694,0.6387244016687228
mBERT Base Model,or,0.03486750348675035,0.9930586075072996,0.03486750348675035,0.056963048074912315
mBERT Base Model,pa,0.746031746031746,0.9224888022841987,0.746031746031746,0.8118830491227387
mBERT Base Model,ta,0.21892025755324418,0.8290058216139345,0.21892025755324418,0.07863693932428599
mBERT Base Model,te,0.8817567567567568,0.8959784526794836,0.8817567567567568,0.8395561923898304
mBERT Base Model,ur,0.009966777408637873,0.7475083056478405,0.009966777408637873,0.01967127120125896
mBERT Finetuned Model,bn,0.7406462585034014,0.7449418719999834,0.7406462585034014,0.7314586593595683
mBERT Finetuned Model,en,0.8072601555747623,0.8122993076382985,0.8072601555747623,0.8082117089354033
mBERT Finetuned Model,gu,0.7479674796747967,0.7752085313060922,0.7479674796747967,0.7340366760665579
mBERT Finetuned Model,hi,0.9421865154379332,0.9455289144351415,0.9421865154379332,0.9141402463840179
mBERT Finetuned Model,kn,0.9366666666666666,0.9406777777777777,0.9366666666666666,0.906035570854848
mBERT Finetuned Model,ml,0.8263274336283186,0.8564895939384447,0.8263274336283186,0.7477487497520946
mBERT Finetuned Model,mr,0.821917808219178,0.841207227781755,0.821917808219178,0.8223093199402834
mBERT Finetuned Model,or,0.9679218967921897,0.990641917808469,0.9679218967921897,0.977651933750104
mBERT Finetuned Model,pa,0.9417989417989417,0.9344763074044843,0.9417989417989417,0.9374473013235658
mBERT Finetuned Model,ta,0.7820703318474492,0.7606564409760815,0.7820703318474492,0.7665281212691922
mBERT Finetuned Model,te,0.8434684684684685,0.8718509304283363,0.8434684684684685,0.8544972338786773
mBERT Finetuned Model,ur,0.9966777408637874,0.9966887782695555,0.9966777408637874,0.99501937523839
